Frame,RtouchPos_X,RtouchPos_Y,RtouchPos_Z,RtouchRot_W,RtouchRot_X,RtouchRot_Y,RtouchRot_Z,LtouchPos_X,LtouchPos_Y,LtouchPos_Z,LtouchRot_W,LtouchRot_X,LtouchRot_Y,LtouchRot_Z,PlayerPos_X,PlayerPos_Y,PlayerPos_Z,PlayerRot_W,PlayerRot_X,PlayerRot_Y,PlayerRot_Z,Right_Accel_X,Right_Accel_Y,Right_Accel_Z,Left_Accel_X,Left_Accel_Y,Left_Accel_Z,Camera_Pos_X,Camera_Pos_Y,Camera_Pos_Z,Camera_Rot_W,Camera_Rot_X,Camera_Rot_Y,Camera_Rot_Z,Right_Angular_Accel_X,Right_Angular_Accel_Y,Right_Angular_Accel_Z,Left_Angular_Accel_X,Left_Angular_Accel_Y,Left_Angular_Accel_Z,Right_Vel_X,Right_Vel_Y,Right_Vel_Z,Left_Vel_X,Left_Vel_Y,Left_Vel_Z,Right_Angular_Vel_X,Right_Angular_Vel_Y,Right_Angular_Vel_Z,Left_Angular_Vel_X,Left_Angular_Vel_Y,Left_Angular_Vel_Z,Primary Hand Trigger,Secondary Hand Trigger
1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,-3.48086,3.146747,5.511024,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,-3.48086,3.090241,5.511024,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
3,0.1914353,-0.2885444,0.7050551,-0.9332619,0.1607144,0.2947125,0.1278187,-0.009608962,-0.3138031,0.6113439,-0.9628799,0.1733117,0.184624,0.1733117,-3.279856,1.591996,5.97282,-0.9460543,-0.2461943,0.2103451,0.01116306,0.303244,-1.585797,-1.174341,0.6287653,-0.4171089,-1.101914,0.2010033,-0.003003528,0.4617966,-0.9460543,-0.2461943,0.2103452,0.01116306,6.474351,6.474351,6.474351,-2.460839,2.19655,1.983182,-0.07217216,-0.07217216,-0.07217216,-0.0382432,0.5908473,0.06391783,-1.875849,-1.875849,-1.875849,-1.423818,0.9925831,0.533516,False,False
4,0.1878771,-0.2534172,0.7020735,-0.9201881,0.2108625,0.2943744,0.1487767,-0.01034561,-0.2753087,0.6131033,-0.9555923,0.2279996,0.1647619,0.2279996,-3.280131,1.591416,5.971544,-0.945775,-0.2491404,0.2081394,0.01080723,-0.04880963,-2.190316,-0.6233338,0.8662586,-1.782926,-0.7719081,0.200729,-0.003584366,0.46052,-0.945775,-0.2491404,0.2081391,0.01080728,5.426025,5.426025,5.426025,5.159449,4.356548,-6.279728,-0.06084609,-0.06084609,-0.06084609,0.009078719,0.5105283,0.02376892,-1.373591,-1.373591,-1.373591,-1.534731,0.566424,-0.08708252,False,False
5,0.1856519,-0.2351324,0.6989723,-0.911583,0.2361469,0.295445,0.1611315,-0.008962488,-0.2527676,0.6129512,-0.9500766,0.260572,0.1537979,0.260572,-3.281127,1.589476,5.968867,-0.9447215,-0.2565538,0.2039344,0.009598937,0.08634602,-2.265771,-0.4578942,0.8063588,-1.893385,-0.8428685,0.1997325,-0.005523692,0.4578434,-0.9447216,-0.2565538,0.2039341,0.00959901,4.319556,4.319556,4.319556,3.984909,8.103955,-1.057727,-0.05950625,-0.05950625,-0.05950625,0.02478217,0.4779079,0.008196197,-1.294966,-1.294966,-1.294966,-1.451176,0.6877708,-0.1254328,False,False
6,0.185114,-0.2312918,0.6979854,-0.9095998,0.2418718,0.2953103,0.1640671,-0.008313162,-0.2479627,0.6126028,-0.9488917,0.2679563,0.1498969,0.2679563,-3.281615,1.58898,5.968335,-0.9445184,-0.2577463,0.2033751,0.009515051,-0.03254776,-2.404289,-0.386847,0.6977693,-2.008071,-0.708928,0.1992454,-0.006019462,0.4573109,-0.9445184,-0.2577463,0.2033748,0.009515123,5.090995,5.090995,5.090995,3.429224,5.819601,-1.21264,-0.05886946,-0.05886946,-0.05886946,0.03252235,0.4586064,3.115916E-05,-1.255749,-1.255749,-1.255749,-1.418307,0.750529,-0.1289085,False,False
7,0.1845375,-0.2278866,0.6969257,-0.9077275,0.2471737,0.2953666,0.1664168,-0.007476334,-0.2433378,0.6121643,-0.9477952,0.2749188,0.1457942,0.2749188,-3.282122,1.588551,5.967882,-0.9441524,-0.2593752,0.2030013,0.009548631,-0.1166271,-2.483424,-0.3922762,0.6564004,-2.142427,-0.4803833,0.1987378,-0.006448481,0.456858,-0.9441525,-0.2593752,0.2030011,0.009548692,6.118786,6.118786,6.118786,6.086432,2.573021,-1.380944,-0.05927967,-0.05927967,-0.05927967,0.04244268,0.4295423,-0.008645639,-1.193319,-1.193319,-1.193319,-1.34126,0.7917718,-0.1452478,False,False
8,0.1839316,-0.22453,0.695887,-0.905727,0.25225,0.2959041,0.1687282,-0.00676001,-0.239012,0.6118191,-0.9467338,0.2812059,0.1419893,0.2812059,-3.282685,1.588021,5.967472,-0.9439396,-0.2605694,0.2024626,0.009510666,-0.1472251,-2.549732,-0.4079162,0.4666303,-2.005797,-0.3890645,0.1981754,-0.006978651,0.4564485,-0.9439397,-0.2605694,0.2024623,0.009510734,7.125505,7.125505,7.125505,7.798949,1.6427,1.913049,-0.06024517,-0.06024517,-0.06024517,0.04695732,0.4130546,-0.01246869,-1.138156,-1.138156,-1.138156,-1.280734,0.8087562,-0.137939,False,False
9,0.183311,-0.2218666,0.6947405,-0.9037619,0.2563224,0.2970118,0.1711645,-0.00603252,-0.2353622,0.6112736,-0.945694,0.2868094,0.1384328,0.2868094,-3.283385,1.587496,5.967144,-0.9436716,-0.2616242,0.202361,0.00931894,-0.1192443,-2.543833,-0.2210466,0.2584091,-1.889877,-0.2839732,0.1974754,-0.007504369,0.4561198,-0.9436716,-0.2616242,0.2023608,0.009319019,7.655948,7.655948,7.655948,6.845111,-3.580968,5.118742,-0.06188368,-0.06188368,-0.06188368,0.05159838,0.3853575,-0.01780098,-1.041278,-1.041278,-1.041278,-1.19137,0.7835513,-0.07608319,False,False
10,0.1827018,-0.2189578,0.6936917,-0.901827,0.2605427,0.2976969,0.1737874,-0.005347339,-0.2314649,0.6108361,-0.9444418,0.2927558,0.1352483,0.2927558,-3.283955,1.587026,5.966796,-0.9430983,-0.2634792,0.2026369,0.009091228,-0.03639823,-2.471894,-0.2243359,0.2624788,-1.91761,-0.2942433,0.1969053,-0.007973488,0.4557726,-0.9430984,-0.2634792,0.2026364,0.009091358,8.042789,8.042789,8.042789,5.665806,-6.107701,6.36056,-0.06211859,-0.06211859,-0.06211859,0.05326123,0.3734303,-0.02004874,-0.9944108,-0.9944108,-0.9944108,-1.156187,0.7476375,-0.03654176,False,False
